name,languages,colorDepth,deviceMemory,screenResolution,hardwareConcurrency,timezoneOffset,sessionStorage,localStorage,indexedDB,openDatabase,platform,touchSupport,fonts,pluginsSupport,chrome,cookiesEnabled
Gregory,ru,12,1,"[1400,1080]",16,660,true,false,false,true,Linux,false,"[""Arial""]",false,false,false
Gregory,ru,12,1,"[1400,1080]",16,660,true,false,false,true,Linux,false,"[""Arial""]",false,false,false
Gregory,ru,12,1,"[1400,1080]",16,660,true,false,false,true,Linux,false,"[""Arial""]",false,false,false
Veniamin,ru,8,2,"[1680,1050]",16,420,false,false,true,true,Win64,true,"[""Pluto Sans""]",false,false,true
Veniamin,ru,8,2,"[1680,1050]",16,420,false,false,true,true,Win64,true,"[""Pluto Sans""]",false,false,true
Veniamin,ru,8,2,"[1680,1050]",16,420,false,false,true,true,Win64,true,"[""Pluto Sans""]",false,false,true
Stanislav,ru,8,64,"[1920,1080]",4,660,false,false,true,false,Win64,true,"[""Comic Sans""]",false,true,false
Stanislav,ru,8,64,"[1920,1080]",4,660,false,false,true,false,Win64,true,"[""Comic Sans""]",false,true,false
Stanislav,ru,8,64,"[1920,1080]",4,660,false,false,true,false,Win64,true,"[""Comic Sans""]",false,true,false
Pavel,ru,12,16,"[1024,768]",8,540,true,false,false,false,Linux,true,"[""Pluto Sans""]",true,true,false
Pavel,ru,12,16,"[1024,768]",8,540,true,false,false,false,Linux,true,"[""Pluto Sans""]",true,true,false
Pavel,ru,12,16,"[1024,768]",8,540,true,false,false,false,Linux,true,"[""Pluto Sans""]",true,true,false
Klaus,en,12,16,"[1600,1200]",8,480,true,true,false,false,Linux,true,"[""Museo""]",false,false,true
Klaus,en,12,16,"[1600,1200]",8,480,true,true,false,false,Linux,true,"[""Museo""]",false,false,true
Klaus,en,12,16,"[1600,1200]",8,480,true,true,false,false,Linux,true,"[""Museo""]",false,false,true
Leon,ru,24,16,"[1024,576]",1,660,true,false,true,true,Win64,true,"[""Times New Roman""]",false,false,false
Leon,ru,24,16,"[1024,576]",1,660,true,false,true,true,Win64,true,"[""Times New Roman""]",false,false,false
Leon,ru,24,16,"[1024,576]",1,660,true,false,true,true,Win64,true,"[""Times New Roman""]",false,false,false
Anton,en,8,2,"[1600,1200]",8,540,true,true,true,false,Mac,false,"[""Museo""]",true,true,true
Anton,en,8,2,"[1600,1200]",8,540,true,true,true,false,Mac,false,"[""Museo""]",true,true,true
Anton,en,8,2,"[1600,1200]",8,540,true,true,true,false,Mac,false,"[""Museo""]",true,true,true
Vsevolod,en,24,2,"[1280,800]",4,180,true,true,true,false,Linux,true,"[""MS Gothic""]",true,true,false
Vsevolod,en,24,2,"[1280,800]",4,180,true,true,true,false,Linux,true,"[""MS Gothic""]",true,true,false
Vsevolod,en,24,2,"[1280,800]",4,180,true,true,true,false,Linux,true,"[""MS Gothic""]",true,true,false
Otto,ru,8,2,"[1280,720]",8,540,false,false,true,false,Mac,true,"[""Gotham""]",true,false,false
Otto,ru,8,2,"[1280,720]",8,540,false,false,true,false,Mac,true,"[""Gotham""]",true,false,false
Otto,ru,8,2,"[1280,720]",8,540,false,false,true,false,Mac,true,"[""Gotham""]",true,false,false
Ivan,ru,12,32,"[1920,1440]",4,600,true,true,true,true,Win32,true,"[""MS Gothic""]",true,true,true
Ivan,ru,12,32,"[1920,1440]",4,600,true,true,true,true,Win32,true,"[""MS Gothic""]",true,true,true
Ivan,ru,12,32,"[1920,1440]",4,600,true,true,true,true,Win32,true,"[""MS Gothic""]",true,true,true
Timur,en,8,8,"[1600,900]",1,180,true,false,false,false,Win32,false,"[""Arial""]",false,true,true
Timur,en,8,8,"[1600,900]",1,180,true,false,false,false,Win32,false,"[""Arial""]",false,true,true
Timur,en,8,8,"[1600,900]",1,180,true,false,false,false,Win32,false,"[""Arial""]",false,true,true
Ilya,en,8,2,"[1024,768]",1,240,false,true,true,false,Win32,true,"[""Verdana""]",true,false,false
Ilya,en,8,2,"[1024,768]",1,240,false,true,true,false,Win32,true,"[""Verdana""]",true,false,false
Ilya,en,8,2,"[1024,768]",1,240,false,true,true,false,Win32,true,"[""Verdana""]",true,false,false
Eduard,en,24,64,"[1400,1080]",2,600,false,false,true,false,Mac,true,"[""Helvetica""]",true,false,true
Eduard,en,24,64,"[1400,1080]",2,600,false,false,true,false,Mac,true,"[""Helvetica""]",true,false,true
Eduard,en,24,64,"[1400,1080]",2,600,false,false,true,false,Mac,true,"[""Helvetica""]",true,false,true
Aleksey,ru,12,32,"[1400,1080]",4,480,true,false,true,false,Win32,false,"[""Arial""]",true,false,true
Aleksey,ru,12,32,"[1400,1080]",4,480,true,false,true,false,Win32,false,"[""Arial""]",true,false,true
Aleksey,ru,12,32,"[1400,1080]",4,480,true,false,true,false,Win32,false,"[""Arial""]",true,false,true
Nikita,ru,12,8,"[1024,576]",1,480,false,false,true,true,Win64,false,"[""Museo""]",false,false,false
Nikita,ru,12,8,"[1024,576]",1,480,false,false,true,true,Win64,false,"[""Museo""]",false,false,false
Nikita,ru,12,8,"[1024,576]",1,480,false,false,true,true,Win64,false,"[""Museo""]",false,false,false
Matvei,ru,8,16,"[1280,960]",8,240,false,false,true,false,Mac,false,"[""Verdana""]",true,false,false
Matvei,ru,8,16,"[1280,960]",8,240,false,false,true,false,Mac,false,"[""Verdana""]",true,false,false
Matvei,ru,8,16,"[1280,960]",8,240,false,false,true,false,Mac,false,"[""Verdana""]",true,false,false
August,en,8,16,"[1280,960]",4,720,false,true,false,false,Win32,true,"[""Gotham""]",false,false,false
August,en,8,16,"[1280,960]",4,720,false,true,false,false,Win32,true,"[""Gotham""]",false,false,false
August,en,8,16,"[1280,960]",4,720,false,true,false,false,Win32,true,"[""Gotham""]",false,false,false
Dietrich,en,12,16,"[800,600]",12,480,true,false,true,true,Win32,false,"[""Verdana""]",true,true,false
Dietrich,en,12,16,"[800,600]",12,480,true,false,true,true,Win32,false,"[""Verdana""]",true,true,false
Dietrich,en,12,16,"[800,600]",12,480,true,false,true,true,Win32,false,"[""Verdana""]",true,true,false
Vladimir,en,24,2,"[800,600]",1,540,false,false,false,false,Mac,false,"[""Verdana""]",true,false,true
Vladimir,en,24,2,"[800,600]",1,540,false,false,false,false,Mac,false,"[""Verdana""]",true,false,true
Vladimir,en,24,2,"[800,600]",1,540,false,false,false,false,Mac,false,"[""Verdana""]",true,false,true
Mikhail,ru,12,64,"[1600,1200]",1,600,true,false,true,true,Linux,false,"[""MS Gothic""]",false,false,false
Mikhail,ru,12,64,"[1600,1200]",1,600,true,false,true,true,Linux,false,"[""MS Gothic""]",false,false,false
Mikhail,ru,12,64,"[1600,1200]",1,600,true,false,true,true,Linux,false,"[""MS Gothic""]",false,false,false
Markus,en,24,8,"[1900,1200]",8,180,false,true,true,false,Win32,false,"[""Times New Roman""]",false,false,false
Markus,en,24,8,"[1900,1200]",8,180,false,true,true,false,Win32,false,"[""Times New Roman""]",false,false,false
Markus,en,24,8,"[1900,1200]",8,180,false,true,true,false,Win32,false,"[""Times New Roman""]",false,false,false
Boris,en,8,64,"[2560,1440]",1,420,false,false,true,false,Win64,true,"[""Times New Roman""]",true,false,true
Boris,en,8,64,"[2560,1440]",1,420,false,false,true,false,Win64,true,"[""Times New Roman""]",true,false,true
Boris,en,8,64,"[2560,1440]",1,420,false,false,true,false,Win64,true,"[""Times New Roman""]",true,false,true
Rodion,en,8,8,"[1600,900]",12,300,true,true,true,false,Linux,false,"[""Museo""]",false,false,true
Rodion,en,8,8,"[1600,900]",12,300,true,true,true,false,Linux,false,"[""Museo""]",false,false,true
Rodion,en,8,8,"[1600,900]",12,300,true,true,true,false,Linux,false,"[""Museo""]",false,false,true
Anatolii,en,8,16,"[1400,1080]",12,300,false,true,true,false,Win32,false,"[""Verdana""]",false,true,true
Anatolii,en,8,16,"[1400,1080]",12,300,false,true,true,false,Win32,false,"[""Verdana""]",false,true,true
Anatolii,en,8,16,"[1400,1080]",12,300,false,true,true,false,Win32,false,"[""Verdana""]",false,true,true
Eduard,ru,12,1,"[1024,576]",1,360,true,true,true,true,Mac,true,"[""Comic Sans""]",true,true,true
Eduard,ru,12,1,"[1024,576]",1,360,true,true,true,true,Mac,true,"[""Comic Sans""]",true,true,true
Eduard,ru,12,1,"[1024,576]",1,360,true,true,true,true,Mac,true,"[""Comic Sans""]",true,true,true
Ulbrecht,en,24,64,"[640,480]",1,360,true,false,true,true,Win64,false,"[""MS Gothic""]",true,false,false
Ulbrecht,en,24,64,"[640,480]",1,360,true,false,true,true,Win64,false,"[""MS Gothic""]",true,false,false
Ulbrecht,en,24,64,"[640,480]",1,360,true,false,true,true,Win64,false,"[""MS Gothic""]",true,false,false
Hilbert,en,24,64,"[1920,1080]",16,120,true,true,false,true,Win32,true,"[""Calibri""]",false,false,false
Hilbert,en,24,64,"[1920,1080]",16,120,true,true,false,true,Win32,true,"[""Calibri""]",false,false,false
Hilbert,en,24,64,"[1920,1080]",16,120,true,true,false,true,Win32,true,"[""Calibri""]",false,false,false
Timur,ru,24,32,"[2560,1600]",1,240,true,true,false,false,Win64,true,"[""Verdana""]",true,true,true
Timur,ru,24,32,"[2560,1600]",1,240,true,true,false,false,Win64,true,"[""Verdana""]",true,true,true
Timur,ru,24,32,"[2560,1600]",1,240,true,true,false,false,Win64,true,"[""Verdana""]",true,true,true
Markus,en,8,32,"[1024,768]",1,120,true,true,false,false,Linux,true,"[""Helvetica""]",false,true,true
Markus,en,8,32,"[1024,768]",1,120,true,true,false,false,Linux,true,"[""Helvetica""]",false,true,true
Markus,en,8,32,"[1024,768]",1,120,true,true,false,false,Linux,true,"[""Helvetica""]",false,true,true
Conrad,ru,12,32,"[1920,1440]",8,600,false,false,true,true,Win32,false,"[""Centaur""]",true,false,false
Conrad,ru,12,32,"[1920,1440]",8,600,false,false,true,true,Win32,false,"[""Centaur""]",true,false,false
Conrad,ru,12,32,"[1920,1440]",8,600,false,false,true,true,Win32,false,"[""Centaur""]",true,false,false
Klaus,ru,24,16,"[1920,1440]",4,360,false,false,true,true,Linux,false,"[""Helvetica""]",false,false,false
Klaus,ru,24,16,"[1920,1440]",4,360,false,false,true,true,Linux,false,"[""Helvetica""]",false,false,false
Klaus,ru,24,16,"[1920,1440]",4,360,false,false,true,true,Linux,false,"[""Helvetica""]",false,false,false
Veniamin,ru,8,2,"[1600,1200]",4,540,true,true,false,true,Win64,true,"[""Arial""]",false,true,true
Veniamin,ru,8,2,"[1600,1200]",4,540,true,true,false,true,Win64,true,"[""Arial""]",false,true,true
Veniamin,ru,8,2,"[1600,1200]",4,540,true,true,false,true,Win64,true,"[""Arial""]",false,true,true
Fedor,en,24,16,"[1440,900]",8,420,false,false,false,true,Win32,false,"[""Verdana""]",true,true,true
Fedor,en,24,16,"[1440,900]",8,420,false,false,false,true,Win32,false,"[""Verdana""]",true,true,true
Fedor,en,24,16,"[1440,900]",8,420,false,false,false,true,Win32,false,"[""Verdana""]",true,true,true
Vsevolod,ru,12,4,"[1920,1440]",4,660,true,true,true,true,Linux,true,"[""Futura""]",true,false,true
Vsevolod,ru,12,4,"[1920,1440]",4,660,true,true,true,true,Linux,true,"[""Futura""]",true,false,true
Vsevolod,ru,12,4,"[1920,1440]",4,660,true,true,true,true,Linux,true,"[""Futura""]",true,false,true
Gregory,ru,12,32,"[1024,768]",8,360,false,true,false,true,Win32,false,"[""Georgia""]",true,false,false
Gregory,ru,12,32,"[1024,768]",8,360,false,true,false,true,Win32,false,"[""Georgia""]",true,false,false
Gregory,ru,12,32,"[1024,768]",8,360,false,true,false,true,Win32,false,"[""Georgia""]",true,false,false
Hans,ru,12,4,"[1152,648]",16,240,false,false,false,true,Mac,true,"[""MS Gothic""]",false,false,false
Hans,ru,12,4,"[1152,648]",16,240,false,false,false,true,Mac,true,"[""MS Gothic""]",false,false,false
Hans,ru,12,4,"[1152,648]",16,240,false,false,false,true,Mac,true,"[""MS Gothic""]",false,false,false
Daniil,ru,8,2,"[1680,1050]",16,600,false,true,false,false,Win64,false,"[""Pluto Sans""]",false,true,false
Daniil,ru,8,2,"[1680,1050]",16,600,false,true,false,false,Win64,false,"[""Pluto Sans""]",false,true,false
Daniil,ru,8,2,"[1680,1050]",16,600,false,true,false,false,Win64,false,"[""Pluto Sans""]",false,true,false
August,en,8,64,"[1366,768]",12,720,true,true,true,false,Linux,false,"[""Arial""]",false,false,false
August,en,8,64,"[1366,768]",12,720,true,true,true,false,Linux,false,"[""Arial""]",false,false,false
August,en,8,64,"[1366,768]",12,720,true,true,true,false,Linux,false,"[""Arial""]",false,false,false
Boris,en,24,64,"[640,480]",8,360,true,false,true,false,Linux,true,"[""Arial""]",true,false,false
Boris,en,24,64,"[640,480]",8,360,true,false,true,false,Linux,true,"[""Arial""]",true,false,false
Boris,en,24,64,"[640,480]",8,360,true,false,true,false,Linux,true,"[""Arial""]",true,false,false
Petr,ru,12,64,"[1024,768]",2,600,true,true,false,false,Mac,false,"[""Verdana""]",true,false,true
Petr,ru,12,64,"[1024,768]",2,600,true,true,false,false,Mac,false,"[""Verdana""]",true,false,true
Petr,ru,12,64,"[1024,768]",2,600,true,true,false,false,Mac,false,"[""Verdana""]",true,false,true
Vladimir,ru,8,8,"[1280,960]",8,480,true,true,true,false,Win32,true,"[""Verdana""]",true,true,false
Vladimir,ru,8,8,"[1280,960]",8,480,true,true,true,false,Win32,true,"[""Verdana""]",true,true,false
Vladimir,ru,8,8,"[1280,960]",8,480,true,true,true,false,Win32,true,"[""Verdana""]",true,true,false
Andrei,ru,24,2,"[1280,720]",1,600,true,true,false,true,Win64,true,"[""Comic Sans""]",true,true,true
Andrei,ru,24,2,"[1280,720]",1,600,true,true,false,true,Win64,true,"[""Comic Sans""]",true,true,true
Andrei,ru,24,2,"[1280,720]",1,600,true,true,false,true,Win64,true,"[""Comic Sans""]",true,true,true
Barthold,ru,8,8,"[2560,1600]",4,240,false,true,true,true,Win64,true,"[""Calibri""]",true,false,false
Barthold,ru,8,8,"[2560,1600]",4,240,false,true,true,true,Win64,true,"[""Calibri""]",true,false,false
Barthold,ru,8,8,"[2560,1600]",4,240,false,true,true,true,Win64,true,"[""Calibri""]",true,false,false
Dmitriy,ru,8,1,"[1600,900]",1,120,false,true,true,true,Linux,false,"[""Calibri""]",false,true,false
Dmitriy,ru,8,1,"[1600,900]",1,120,false,true,true,true,Linux,false,"[""Calibri""]",false,true,false
Dmitriy,ru,8,1,"[1600,900]",1,120,false,true,true,true,Linux,false,"[""Calibri""]",false,true,false
Ivan,en,12,4,"[1280,800]",2,540,false,false,false,true,Win32,false,"[""Museo""]",false,true,false
Ivan,en,12,4,"[1280,800]",2,540,false,false,false,true,Win32,false,"[""Museo""]",false,true,false
Ivan,en,12,4,"[1280,800]",2,540,false,false,false,true,Win32,false,"[""Museo""]",false,true,false
Anton,ru,12,4,"[1920,1440]",2,660,false,true,false,true,Win32,false,"[""Pluto Sans""]",false,false,false
Anton,ru,12,4,"[1920,1440]",2,660,false,true,false,true,Win32,false,"[""Pluto Sans""]",false,false,false
Anton,ru,12,4,"[1920,1440]",2,660,false,true,false,true,Win32,false,"[""Pluto Sans""]",false,false,false
Gedeon,en,8,32,"[1600,900]",2,600,true,true,true,false,Win32,false,"[""Roboto""]",true,true,false
Gedeon,en,8,32,"[1600,900]",2,600,true,true,true,false,Win32,false,"[""Roboto""]",true,true,false
Gedeon,en,8,32,"[1600,900]",2,600,true,true,true,false,Win32,false,"[""Roboto""]",true,true,false
Aleksey,en,8,8,"[1024,576]",4,660,false,true,true,false,Win32,false,"[""Comic Sans""]",false,false,false
Aleksey,en,8,8,"[1024,576]",4,660,false,true,true,false,Win32,false,"[""Comic Sans""]",false,false,false
Aleksey,en,8,8,"[1024,576]",4,660,false,true,true,false,Win32,false,"[""Comic Sans""]",false,false,false
Matvei,ru,8,16,"[1280,800]",1,480,true,true,false,false,Win64,false,"[""Pluto Sans""]",true,true,false
Matvei,ru,8,16,"[1280,800]",1,480,true,true,false,false,Win64,false,"[""Pluto Sans""]",true,true,false
Matvei,ru,8,16,"[1280,800]",1,480,true,true,false,false,Win64,false,"[""Pluto Sans""]",true,true,false
Maksimilian,en,12,4,"[800,600]",1,420,false,false,false,true,Linux,true,"[""Museo""]",true,true,true
Maksimilian,en,12,4,"[800,600]",1,420,false,false,false,true,Linux,true,"[""Museo""]",true,true,true
Maksimilian,en,12,4,"[800,600]",1,420,false,false,false,true,Linux,true,"[""Museo""]",true,true,true
Nikolaus,ru,8,16,"[1400,1080]",2,540,false,false,false,true,Linux,true,"[""Helvetica""]",false,false,false
Nikolaus,ru,8,16,"[1400,1080]",2,540,false,false,false,true,Linux,true,"[""Helvetica""]",false,false,false
Nikolaus,ru,8,16,"[1400,1080]",2,540,false,false,false,true,Linux,true,"[""Helvetica""]",false,false,false
Filipp,en,12,16,"[1900,1200]",2,660,true,true,true,false,Win32,true,"[""Times New Roman""]",false,true,true
Filipp,en,12,16,"[1900,1200]",2,660,true,true,true,false,Win32,true,"[""Times New Roman""]",false,true,true
Filipp,en,12,16,"[1900,1200]",2,660,true,true,true,false,Win32,true,"[""Times New Roman""]",false,true,true
Pavel,en,12,1,"[1280,800]",1,720,false,false,true,false,Linux,true,"[""Gotham""]",false,false,true
Pavel,en,12,1,"[1280,800]",1,720,false,false,true,false,Linux,true,"[""Gotham""]",false,false,true
Pavel,en,12,1,"[1280,800]",1,720,false,false,true,false,Linux,true,"[""Gotham""]",false,false,true
Roman,en,12,8,"[640,480]",4,300,false,false,false,false,Linux,true,"[""MS Gothic""]",false,false,false
Roman,en,12,8,"[640,480]",4,300,false,false,false,false,Linux,true,"[""MS Gothic""]",false,false,false
Roman,en,12,8,"[640,480]",4,300,false,false,false,false,Linux,true,"[""MS Gothic""]",false,false,false
Albrecht,en,8,2,"[1366,768]",4,600,false,false,true,true,Win64,true,"[""Pluto Sans""]",false,false,true
Albrecht,en,8,2,"[1366,768]",4,600,false,false,true,true,Win64,true,"[""Pluto Sans""]",false,false,true
Albrecht,en,8,2,"[1366,768]",4,600,false,false,true,true,Win64,true,"[""Pluto Sans""]",false,false,true
Konstantin,en,24,1,"[1152,648]",8,720,true,false,true,true,Linux,true,"[""MS Gothic""]",true,true,false
Konstantin,en,24,1,"[1152,648]",8,720,true,false,true,true,Linux,true,"[""MS Gothic""]",true,true,false
Konstantin,en,24,1,"[1152,648]",8,720,true,false,true,true,Linux,true,"[""MS Gothic""]",true,true,false
Otto,ru,12,1,"[1600,1200]",12,540,true,false,false,false,Linux,false,"[""Georgia""]",true,false,true
Otto,ru,12,1,"[1600,1200]",12,540,true,false,false,false,Linux,false,"[""Georgia""]",true,false,true
Otto,ru,12,1,"[1600,1200]",12,540,true,false,false,false,Linux,false,"[""Georgia""]",true,false,true
